id_venta,producto,precio,cantidad,fecha_venta,categoria,precio_total,id_campanha,canal,costo,fecha_inicio,fecha_fin
1445,lavadora,28.41,10.0,2024-01-04,electrodomesticos,284.1,16,RRSS,3.56,2024-08-14,2024-09-20
1971,freidora electrica,122.25,11.0,2024-01-04,electrodomesticos,1344.75,11,RRSS,5.27,2024-12-29,2025-01-21
2209,proyector,32.15,1.0,2024-01-04,electronica,32.15,7,RRSS,5.57,2024-07-30,2024-08-16
256,cortinas,86.82,8.0,2024-01-05,decoracion,694.56,13,RRSS,5.22,2024-09-16,2024-10-15
606,cortinas,106.66,11.0,2024-01-05,decoracion,1173.26,13,RRSS,5.22,2024-09-16,2024-10-15
704,jarron decorativo,57.22,9.0,2024-01-05,decoracion,514.98,75,TV,4.1,2024-11-03,2024-12-25
1362,heladera,109.49,11.0,2024-01-05,electrodomesticos,1204.39,64,TV,4.38,2024-07-10,2024-08-09
2155,auriculares,84.8,10.0,2024-01-05,electronica,848.0,77,TV,4.99,2024-11-11,2024-12-06
2947,camara digital,107.78,3.0,2024-01-05,electronica,323.34,48,EMAIL,6.84,2024-10-31,2024-12-09
1495,lavadora,38.99,6.0,2024-01-06,electrodomesticos,233.94,16,RRSS,3.56,2024-08-14,2024-09-20
1572,cafetera,61.4,9.0,2024-01-06,electrodomesticos,552.60004,19,RRSS,5.7,2024-08-19,2024-09-15
2180,consola de videojuegos,102.57,9.0,2024-01-06,electronica,923.13,80,TV,4.64,2024-11-01,2024-11-20
2487,camara digital,50.76,3.0,2024-01-06,electronica,152.28,48,EMAIL,6.84,2024-10-31,2024-12-09
2603,smartphone,87.05,5.0,2024-01-06,electronica,435.25,81,TV,4.78,2024-09-28,2024-10-24
2885,auriculares,100.4,6.0,2024-01-06,electronica,602.4,77,TV,4.99,2024-11-11,2024-12-06
17,elementos de ceramica,108.48,11.0,2024-01-07,decoracion,1193.28,52,EMAIL,5.74,2024-09-09,2024-09-30
183,espejo decorativo,82.76,8.0,2024-01-07,decoracion,662.08,23,RRSS,4.75,2024-08-28,2024-10-17
560,adorno de pared,57.62,6.0,2024-01-07,decoracion,345.72,14,RRSS,4.16,2024-10-22,2024-12-21
632,cuadro decorativo,30.49,12.0,2024-01-07,decoracion,365.88,61,TV,5.3,2024-11-05,2024-12-23
699,candelabro,34.23,12.0,2024-01-07,decoracion,410.76,9,RRSS,5.32,2024-10-08,2024-11-16
1150,plancha de vapor,33.63,10.0,2024-01-07,electrodomesticos,336.30002,66,TV,4.69,2024-10-04,2024-10-23
1400,plancha de vapor,26.91,5.0,2024-01-07,electrodomesticos,134.55,66,TV,4.69,2024-10-04,2024-10-23
1496,secadora,95.33,11.0,2024-01-07,electrodomesticos,1048.63,33,EMAIL,3.8,2024-12-20,2025-01-07
1524,aspiradora,65.55,8.0,2024-01-07,electrodomesticos,524.4,70,TV,3.06,2024-12-13,2024-12-29
1550,plancha de vapor,51.51,7.0,2024-01-07,electrodomesticos,360.56998,66,TV,4.69,2024-10-04,2024-10-23
2174,auriculares,116.04,11.0,2024-01-07,electronica,1276.4401,77,TV,4.99,2024-11-11,2024-12-06
2773,smartphone,107.51,5.0,2024-01-07,electronica,537.55,81,TV,4.78,2024-09-28,2024-10-24
2920,consola de videojuegos,29.49,2.0,2024-01-07,electronica,58.98,80,TV,4.64,2024-11-01,2024-11-20
84,jarron decorativo,37.05,4.0,2024-01-08,decoracion,148.2,75,TV,4.1,2024-11-03,2024-12-25
349,candelabro,57.65,6.0,2024-01-08,decoracion,345.90002,9,RRSS,5.32,2024-10-08,2024-11-16
687,elementos de ceramica,27.68,8.0,2024-01-08,decoracion,221.44,52,EMAIL,5.74,2024-09-09,2024-09-30
696,cortinas,32.57,8.0,2024-01-08,decoracion,260.56,13,RRSS,5.22,2024-09-16,2024-10-15
1734,aspiradora,50.86,4.0,2024-01-08,electrodomesticos,203.44,70,TV,3.06,2024-12-13,2024-12-29
2173,smartphone,54.19,12.0,2024-01-08,electronica,650.27997,81,TV,4.78,2024-09-28,2024-10-24
2283,smartphone,70.07,11.0,2024-01-08,electronica,770.77,81,TV,4.78,2024-09-28,2024-10-24
2501,parlantes bluetooth,87.78,1.0,2024-01-08,electronica,87.78,24,RRSS,6.0,2024-09-22,2024-10-26
2918,smartwatch,82.18,10.0,2024-01-08,electronica,821.8,25,RRSS,4.84,2024-11-23,2024-12-29
386,cortinas,85.71,8.0,2024-01-09,decoracion,685.68,13,RRSS,5.22,2024-09-16,2024-10-15
599,candelabro,47.22,5.0,2024-01-09,decoracion,236.1,9,RRSS,5.32,2024-10-08,2024-11-16
633,espejo decorativo,60.39,2.0,2024-01-09,decoracion,120.78,23,RRSS,4.75,2024-08-28,2024-10-17
714,jarron decorativo,42.46,8.0,2024-01-09,decoracion,339.68,75,TV,4.1,2024-11-03,2024-12-25
871,lampara de mesa,79.64,11.0,2024-01-09,decoracion,876.04,62,TV,4.51,2024-08-26,2024-10-07
1132,cafetera,29.88,10.0,2024-01-09,electrodomesticos,298.8,19,RRSS,5.7,2024-08-19,2024-09-15
1443,microondas,67.39,8.0,2024-01-09,electrodomesticos,539.12,86,TV,4.25,2024-09-25,2024-11-15
1584,aspiradora,99.58,7.0,2024-01-09,electrodomesticos,697.06,70,TV,3.06,2024-12-13,2024-12-29
1617,horno electrico,68.53,8.0,2024-01-09,electrodomesticos,548.24,65,TV,3.08,2024-10-23,2024-12-11
1649,batidora,39.26,11.0,2024-01-09,electrodomesticos,431.86,27,RRSS,4.52,2024-11-01,2024-12-08
2917,camara digital,120.87,7.0,2024-01-09,electronica,846.09,48,EMAIL,6.84,2024-10-31,2024-12-09
315,alfombra,122.07,9.0,2024-01-10,decoracion,1098.63,28,RRSS,5.82,2024-11-27,2025-01-08
553,espejo decorativo,96.29,9.0,2024-01-10,decoracion,866.61,23,RRSS,4.75,2024-08-28,2024-10-17
817,elementos de ceramica,106.31,1.0,2024-01-10,decoracion,106.31,52,EMAIL,5.74,2024-09-09,2024-09-30
830,adorno de pared,67.23,10.0,2024-01-10,decoracion,672.30005,14,RRSS,4.16,2024-10-22,2024-12-21
854,jarron decorativo,42.83,5.0,2024-01-10,decoracion,214.15001,75,TV,4.1,2024-11-03,2024-12-25
1090,plancha de vapor,66.15,8.0,2024-01-10,electrodomesticos,529.2,66,TV,4.69,2024-10-04,2024-10-23
1464,aspiradora,36.38,5.0,2024-01-10,electrodomesticos,181.90001,70,TV,3.06,2024-12-13,2024-12-29
1933,microondas,46.05,6.0,2024-01-10,electrodomesticos,276.3,86,TV,4.25,2024-09-25,2024-11-15
308,rincon de plantas,31.7,11.0,2024-01-11,decoracion,348.7,68,TV,5.81,2024-12-17,2025-02-14
718,rincon de plantas,29.88,8.0,2024-01-11,decoracion,239.04,68,TV,5.81,2024-12-17,2025-02-14
804,jarron decorativo,87.84,7.0,2024-01-11,decoracion,614.88,75,TV,4.1,2024-11-03,2024-12-25
963,espejo decorativo,32.34,5.0,2024-01-11,decoracion,161.7,23,RRSS,4.75,2024-08-28,2024-10-17
1167,horno electrico,119.7,6.0,2024-01-11,electrodomesticos,718.19995,65,TV,3.08,2024-10-23,2024-12-11
1234,aspiradora,36.89,7.0,2024-01-11,electrodomesticos,258.22998,70,TV,3.06,2024-12-13,2024-12-29
1319,batidora,79.98,12.0,2024-01-11,electrodomesticos,959.76,27,RRSS,4.52,2024-11-01,2024-12-08
1885,lavadora,120.75,10.0,2024-01-11,electrodomesticos,1207.5,16,RRSS,3.56,2024-08-14,2024-09-20
2268,smartwatch,48.45,2.0,2024-01-11,electronica,96.9,25,RRSS,4.84,2024-11-23,2024-12-29
2325,auriculares,117.43,11.0,2024-01-11,electronica,1291.73,77,TV,4.99,2024-11-11,2024-12-06
2761,parlantes bluetooth,29.89,9.0,2024-01-11,electronica,269.01,24,RRSS,6.0,2024-09-22,2024-10-26
243,espejo decorativo,55.61,1.0,2024-01-12,decoracion,55.61,23,RRSS,4.75,2024-08-28,2024-10-17
1441,freidora electrica,52.57,11.0,2024-01-12,electrodomesticos,578.27,11,RRSS,5.27,2024-12-29,2025-01-21
2428,smartwatch,115.0,10.0,2024-01-12,electronica,1150.0,25,RRSS,4.84,2024-11-23,2024-12-29
2583,smartphone,67.93,10.0,2024-01-12,electronica,679.3,81,TV,4.78,2024-09-28,2024-10-24
2980,consola de videojuegos,110.6,12.0,2024-01-12,electronica,1327.2,80,TV,4.64,2024-11-01,2024-11-20
88,rincon de plantas,109.33,9.0,2024-01-13,decoracion,983.97003,68,TV,5.81,2024-12-17,2025-02-14
501,lampara de mesa,35.2,6.0,2024-01-13,decoracion,211.20001,62,TV,4.51,2024-08-26,2024-10-07
507,elementos de ceramica,111.1,1.0,2024-01-13,decoracion,111.1,52,EMAIL,5.74,2024-09-09,2024-09-30
669,lampara de mesa,96.79,5.0,2024-01-13,decoracion,483.95,62,TV,4.51,2024-08-26,2024-10-07
987,elementos de ceramica,102.62,3.0,2024-01-13,decoracion,307.86002,52,EMAIL,5.74,2024-09-09,2024-09-30
1548,cafetera,35.73,12.0,2024-01-13,electrodomesticos,428.76,19,RRSS,5.7,2024-08-19,2024-09-15
2822,televisor,57.34,1.0,2024-01-13,electronica,57.34,89,TV,4.98,2024-12-13,2025-02-08
2924,tablet,32.3,1.0,2024-01-13,electronica,32.3,42,EMAIL,4.42,2024-07-14,2024-09-03
20,adorno de pared,90.21,2.0,2024-01-14,decoracion,180.42,14,RRSS,4.16,2024-10-22,2024-12-21
53,espejo decorativo,115.45,7.0,2024-01-14,decoracion,808.14996,23,RRSS,4.75,2024-08-28,2024-10-17
608,rincon de plantas,64.67,10.0,2024-01-14,decoracion,646.69995,68,TV,5.81,2024-12-17,2025-02-14
993,espejo decorativo,98.26,1.0,2024-01-14,decoracion,98.26,23,RRSS,4.75,2024-08-28,2024-10-17
1065,lavadora,43.98,6.0,2024-01-14,electrodomesticos,263.88,16,RRSS,3.56,2024-08-14,2024-09-20
1599,batidora,96.78,12.0,2024-01-14,electrodomesticos,1161.36,27,RRSS,4.52,2024-11-01,2024-12-08
1638,cafetera,123.96,9.0,2024-01-14,electrodomesticos,1115.64,19,RRSS,5.7,2024-08-19,2024-09-15
1685,lavadora,84.8,3.0,2024-01-14,electrodomesticos,254.40001,16,RRSS,3.56,2024-08-14,2024-09-20
2685,auriculares,27.36,10.0,2024-01-14,electronica,273.6,77,TV,4.99,2024-11-11,2024-12-06
169,lampara de mesa,76.32,9.0,2024-01-15,decoracion,686.88,62,TV,4.51,2024-08-26,2024-10-07
236,cortinas,118.69,9.0,2024-01-15,decoracion,1068.21,13,RRSS,5.22,2024-09-16,2024-10-15
260,adorno de pared,101.48,9.0,2024-01-15,decoracion,913.32,14,RRSS,4.16,2024-10-22,2024-12-21
977,elementos de ceramica,74.35,5.0,2024-01-15,decoracion,371.75,52,EMAIL,5.74,2024-09-09,2024-09-30
1271,freidora electrica,119.46,2.0,2024-01-15,electrodomesticos,238.92,11,RRSS,5.27,2024-12-29,2025-01-21
2098,smartwatch,75.65,5.0,2024-01-15,electronica,378.25,25,RRSS,4.84,2024-11-23,2024-12-29
2196,laptop,31.69,1.0,2024-01-15,electronica,31.69,90,TV,5.62,2024-11-16,2025-01-13
2590,consola de videojuegos,99.14,6.0,2024-01-15,electronica,594.83997,80,TV,4.64,2024-11-01,2024-11-20
2788,smartwatch,30.38,8.0,2024-01-15,electronica,243.04,25,RRSS,4.84,2024-11-23,2024-12-29
2803,smartphone,95.73,5.0,2024-01-15,electronica,478.65002,81,TV,4.78,2024-09-28,2024-10-24
2874,tablet,117.47,2.0,2024-01-15,electronica,234.94,42,EMAIL,4.42,2024-07-14,2024-09-03
113,espejo decorativo,75.93,10.0,2024-01-16,decoracion,759.3,23,RRSS,4.75,2024-08-28,2024-10-17
503,espejo decorativo,101.91,3.0,2024-01-16,decoracion,305.73,23,RRSS,4.75,2024-08-28,2024-10-17
832,cuadro decorativo,30.59,1.0,2024-01-16,decoracion,30.59,61,TV,5.3,2024-11-05,2024-12-23
962,cuadro decorativo,40.97,11.0,2024-01-16,decoracion,450.67,61,TV,5.3,2024-11-05,2024-12-23
1250,plancha de vapor,98.55,6.0,2024-01-16,electrodomesticos,591.30005,66,TV,4.69,2024-10-04,2024-10-23
1431,freidora electrica,83.95,8.0,2024-01-16,electrodomesticos,671.6,11,RRSS,5.27,2024-12-29,2025-01-21
1920,plancha de vapor,86.65,6.0,2024-01-16,electrodomesticos,519.9,66,TV,4.69,2024-10-04,2024-10-23
2129,proyector,107.98,6.0,2024-01-16,electronica,647.88,7,RRSS,5.57,2024-07-30,2024-08-16
2220,consola de videojuegos,31.57,1.0,2024-01-16,electronica,31.57,80,TV,4.64,2024-11-01,2024-11-20
2477,camara digital,38.37,9.0,2024-01-16,electronica,345.33,48,EMAIL,6.84,2024-10-31,2024-12-09
2789,proyector,115.19,11.0,2024-01-16,electronica,1267.0901,7,RRSS,5.57,2024-07-30,2024-08-16
2935,auriculares,80.29,2.0,2024-01-16,electronica,160.58,77,TV,4.99,2024-11-11,2024-12-06
131,lampara de mesa,58.32,10.0,2024-01-17,decoracion,583.2,62,TV,4.51,2024-08-26,2024-10-07
178,rincon de plantas,81.5,1.0,2024-01-17,decoracion,81.5,68,TV,5.81,2024-12-17,2025-02-14
368,rincon de plantas,87.4,9.0,2024-01-17,decoracion,786.60004,68,TV,5.81,2024-12-17,2025-02-14
684,jarron decorativo,106.89,6.0,2024-01-17,decoracion,641.33997,75,TV,4.1,2024-11-03,2024-12-25
1750,plancha de vapor,94.53,2.0,2024-01-17,electrodomesticos,189.06,66,TV,4.69,2024-10-04,2024-10-23
2284,tablet,69.35,4.0,2024-01-17,electronica,277.4,42,EMAIL,4.42,2024-07-14,2024-09-03
2402,televisor,117.53,9.0,2024-01-17,electronica,1057.77,89,TV,4.98,2024-12-13,2025-02-08
2698,smartwatch,76.47,7.0,2024-01-17,electronica,535.29004,25,RRSS,4.84,2024-11-23,2024-12-29
430,adorno de pared,81.76,5.0,2024-01-18,decoracion,408.80002,14,RRSS,4.16,2024-10-22,2024-12-21
588,rincon de plantas,80.17,3.0,2024-01-18,decoracion,240.51,68,TV,5.81,2024-12-17,2025-02-14
1626,secadora,102.73,6.0,2024-01-18,electrodomesticos,616.38,33,EMAIL,3.8,2024-12-20,2025-01-07
1900,plancha de vapor,45.14,1.0,2024-01-18,electrodomesticos,45.14,66,TV,4.69,2024-10-04,2024-10-23
2119,proyector,84.1,11.0,2024-01-18,electronica,925.1,7,RRSS,5.57,2024-07-30,2024-08-16
2244,auriculares,63.67,5.0,2024-01-18,electronica,318.34998,77,TV,4.99,2024-11-11,2024-12-06
2297,camara digital,119.43,5.0,2024-01-18,electronica,597.15,48,EMAIL,6.84,2024-10-31,2024-12-09
2416,laptop,81.74,10.0,2024-01-18,electronica,817.39996,90,TV,5.62,2024-11-16,2025-01-13
2431,parlantes bluetooth,69.4,1.0,2024-01-18,electronica,69.4,24,RRSS,6.0,2024-09-22,2024-10-26
2792,televisor,84.96,5.0,2024-01-18,electronica,424.8,89,TV,4.98,2024-12-13,2025-02-08
30,adorno de pared,76.92,6.0,2024-01-19,decoracion,461.52,14,RRSS,4.16,2024-10-22,2024-12-21
49,lampara de mesa,52.95,6.0,2024-01-19,decoracion,317.7,62,TV,4.51,2024-08-26,2024-10-07
104,jarron decorativo,103.13,8.0,2024-01-19,decoracion,825.04,75,TV,4.1,2024-11-03,2024-12-25
323,espejo decorativo,123.21,7.0,2024-01-19,decoracion,862.47,23,RRSS,4.75,2024-08-28,2024-10-17
395,alfombra,33.48,12.0,2024-01-19,decoracion,401.76,28,RRSS,5.82,2024-11-27,2025-01-08
851,lampara de mesa,85.23,6.0,2024-01-19,decoracion,511.38,62,TV,4.51,2024-08-26,2024-10-07
1125,lavadora,97.73,12.0,2024-01-19,electrodomesticos,1172.76,16,RRSS,3.56,2024-08-14,2024-09-20
1332,cafetera,98.21,11.0,2024-01-19,electrodomesticos,1080.3099,19,RRSS,5.7,2024-08-19,2024-09-15
1806,secadora,27.45,10.0,2024-01-19,electrodomesticos,274.5,33,EMAIL,3.8,2024-12-20,2025-01-07
2231,parlantes bluetooth,42.98,7.0,2024-01-19,electronica,300.86,24,RRSS,6.0,2024-09-22,2024-10-26
401,lampara de mesa,69.47,8.0,2024-01-20,decoracion,555.76,62,TV,4.51,2024-08-26,2024-10-07
788,rincon de plantas,85.75,3.0,2024-01-20,decoracion,257.25,68,TV,5.81,2024-12-17,2025-02-14
1007,horno electrico,98.42,8.0,2024-01-20,electrodomesticos,787.36,65,TV,3.08,2024-10-23,2024-12-11
1489,batidora,95.59,3.0,2024-01-20,electrodomesticos,286.77,27,RRSS,4.52,2024-11-01,2024-12-08
2187,camara digital,108.61,2.0,2024-01-20,electronica,217.22,48,EMAIL,6.84,2024-10-31,2024-12-09
2588,smartwatch,83.01,11.0,2024-01-20,electronica,913.11005,25,RRSS,4.84,2024-11-23,2024-12-29
2721,parlantes bluetooth,40.74,6.0,2024-01-20,electronica,244.44,24,RRSS,6.0,2024-09-22,2024-10-26
2897,camara digital,71.45,5.0,2024-01-20,electronica,357.25,48,EMAIL,6.84,2024-10-31,2024-12-09
2987,camara digital,91.13,8.0,2024-01-20,electronica,729.04,48,EMAIL,6.84,2024-10-31,2024-12-09
59,lampara de mesa,121.72,8.0,2024-01-21,decoracion,973.76,62,TV,4.51,2024-08-26,2024-10-07
754,jarron decorativo,91.53,12.0,2024-01-21,decoracion,1098.36,75,TV,4.1,2024-11-03,2024-12-25
1117,horno electrico,103.57,1.0,2024-01-21,electrodomesticos,103.57,65,TV,3.08,2024-10-23,2024-12-11
1140,plancha de vapor,27.61,7.0,2024-01-21,electrodomesticos,193.27,66,TV,4.69,2024-10-04,2024-10-23
1145,lavadora,67.2,11.0,2024-01-21,electrodomesticos,739.19995,16,RRSS,3.56,2024-08-14,2024-09-20
1286,secadora,84.5,11.0,2024-01-21,electrodomesticos,929.5,33,EMAIL,3.8,2024-12-20,2025-01-07
1754,aspiradora,104.86,8.0,2024-01-21,electrodomesticos,838.88,70,TV,3.06,2024-12-13,2024-12-29
1882,cafetera,51.16,12.0,2024-01-21,electrodomesticos,613.92,19,RRSS,5.7,2024-08-19,2024-09-15
2560,consola de videojuegos,87.23,5.0,2024-01-21,electronica,436.15002,80,TV,4.64,2024-11-01,2024-11-20
442,cuadro decorativo,29.17,1.0,2024-01-22,decoracion,29.17,61,TV,5.3,2024-11-05,2024-12-23
547,elementos de ceramica,83.81,6.0,2024-01-22,decoracion,502.86,52,EMAIL,5.74,2024-09-09,2024-09-30
984,jarron decorativo,26.97,5.0,2024-01-22,decoracion,134.84999,75,TV,4.1,2024-11-03,2024-12-25
1106,secadora,91.54,2.0,2024-01-22,electrodomesticos,183.08,33,EMAIL,3.8,2024-12-20,2025-01-07
1808,cafetera,45.98,3.0,2024-01-22,electrodomesticos,137.94,19,RRSS,5.7,2024-08-19,2024-09-15
1981,freidora electrica,48.68,8.0,2024-01-22,electrodomesticos,389.44,11,RRSS,5.27,2024-12-29,2025-01-21
80,adorno de pared,51.56,5.0,2024-01-23,decoracion,257.80002,14,RRSS,4.16,2024-10-22,2024-12-21
189,lampara de mesa,26.42,2.0,2024-01-23,decoracion,52.84,62,TV,4.51,2024-08-26,2024-10-07
839,lampara de mesa,96.37,5.0,2024-01-23,decoracion,481.85,62,TV,4.51,2024-08-26,2024-10-07
947,elementos de ceramica,117.34,1.0,2024-01-23,decoracion,117.34,52,EMAIL,5.74,2024-09-09,2024-09-30
1592,cafetera,86.79,3.0,2024-01-23,electrodomesticos,260.37,19,RRSS,5.7,2024-08-19,2024-09-15
2690,consola de videojuegos,102.4,2.0,2024-01-23,electronica,204.8,80,TV,4.64,2024-11-01,2024-11-20
39,lampara de mesa,57.35,12.0,2024-01-24,decoracion,688.19995,62,TV,4.51,2024-08-26,2024-10-07
164,jarron decorativo,66.27,1.0,2024-01-24,decoracion,66.27,75,TV,4.1,2024-11-03,2024-12-25
196,cortinas,90.87,4.0,2024-01-24,decoracion,363.48,13,RRSS,5.22,2024-09-16,2024-10-15
768,rincon de plantas,89.47,2.0,2024-01-24,decoracion,178.94,68,TV,5.81,2024-12-17,2025-02-14
1515,lavadora,108.37,1.0,2024-01-24,electrodomesticos,108.37,16,RRSS,3.56,2024-08-14,2024-09-20
1786,secadora,40.63,3.0,2024-01-24,electrodomesticos,121.89,33,EMAIL,3.8,2024-12-20,2025-01-07
1977,horno electrico,45.79,7.0,2024-01-24,electrodomesticos,320.53,65,TV,3.08,2024-10-23,2024-12-11
2354,tablet,27.98,8.0,2024-01-24,electronica,223.84,42,EMAIL,4.42,2024-07-14,2024-09-03
2543,smartphone,91.39,7.0,2024-01-24,electronica,639.73,81,TV,4.78,2024-09-28,2024-10-24
2623,smartphone,27.32,7.0,2024-01-24,electronica,191.23999,81,TV,4.78,2024-09-28,2024-10-24
2982,televisor,26.7,9.0,2024-01-24,electronica,240.3,89,TV,4.98,2024-12-13,2025-02-08
85,alfombra,71.14,2.0,2024-01-25,decoracion,142.28,28,RRSS,5.82,2024-11-27,2025-01-08
983,espejo decorativo,123.22,10.0,2024-01-25,decoracion,1232.2,23,RRSS,4.75,2024-08-28,2024-10-17
1378,cafetera,96.94,4.0,2024-01-25,electrodomesticos,387.76,19,RRSS,5.7,2024-08-19,2024-09-15
1485,lavadora,66.16,4.0,2024-01-25,electrodomesticos,264.64,16,RRSS,3.56,2024-08-14,2024-09-20
1503,microondas,39.45,9.0,2024-01-25,electrodomesticos,355.05002,86,TV,4.25,2024-09-25,2024-11-15
2121,parlantes bluetooth,100.6,6.0,2024-01-25,electronica,603.6,24,RRSS,6.0,2024-09-22,2024-10-26
2340,consola de videojuegos,109.68,5.0,2024-01-25,electronica,548.4,80,TV,4.64,2024-11-01,2024-11-20
2502,televisor,77.83,8.0,2024-01-25,electronica,622.64,89,TV,4.98,2024-12-13,2025-02-08
2619,proyector,70.1,10.0,2024-01-25,electronica,701.0,7,RRSS,5.57,2024-07-30,2024-08-16
2735,auriculares,93.37,10.0,2024-01-25,electronica,933.7,77,TV,4.99,2024-11-11,2024-12-06
2948,smartwatch,29.15,2.0,2024-01-25,electronica,58.3,25,RRSS,4.84,2024-11-23,2024-12-29
73,espejo decorativo,52.58,9.0,2024-01-26,decoracion,473.22003,23,RRSS,4.75,2024-08-28,2024-10-17
621,lampara de mesa,70.6,6.0,2024-01-26,decoracion,423.59998,62,TV,4.51,2024-08-26,2024-10-07
787,elementos de ceramica,106.39,6.0,2024-01-26,decoracion,638.33997,52,EMAIL,5.74,2024-09-09,2024-09-30
933,espejo decorativo,110.02,1.0,2024-01-26,decoracion,110.02,23,RRSS,4.75,2024-08-28,2024-10-17
1768,cafetera,120.32,9.0,2024-01-26,electrodomesticos,1082.88,19,RRSS,5.7,2024-08-19,2024-09-15
2252,televisor,89.27,8.0,2024-01-26,electronica,714.16,89,TV,4.98,2024-12-13,2025-02-08
2305,auriculares,31.03,9.0,2024-01-26,electronica,279.27002,77,TV,4.99,2024-11-11,2024-12-06
218,rincon de plantas,120.32,1.0,2024-01-27,decoracion,120.32,68,TV,5.81,2024-12-17,2025-02-14
310,adorno de pared,103.79,2.0,2024-01-27,decoracion,207.58,14,RRSS,4.16,2024-10-22,2024-12-21
496,cortinas,37.02,5.0,2024-01-27,decoracion,185.1,13,RRSS,5.22,2024-09-16,2024-10-15
1360,plancha de vapor,95.1,2.0,2024-01-27,electrodomesticos,190.2,66,TV,4.69,2024-10-04,2024-10-23
1744,aspiradora,28.79,12.0,2024-01-27,electrodomesticos,345.48,70,TV,3.06,2024-12-13,2024-12-29
1877,horno electrico,53.46,4.0,2024-01-27,electrodomesticos,213.84,65,TV,3.08,2024-10-23,2024-12-11
2165,auriculares,47.24,9.0,2024-01-27,electronica,425.16,77,TV,4.99,2024-11-11,2024-12-06
2218,smartwatch,54.84,1.0,2024-01-27,electronica,54.84,25,RRSS,4.84,2024-11-23,2024-12-29
2222,televisor,33.19,9.0,2024-01-27,electronica,298.71,89,TV,4.98,2024-12-13,2025-02-08
2546,laptop,30.31,2.0,2024-01-27,electronica,60.62,90,TV,5.62,2024-11-16,2025-01-13
617,elementos de ceramica,28.22,4.0,2024-01-28,decoracion,112.88,52,EMAIL,5.74,2024-09-09,2024-09-30
641,lampara de mesa,95.46,10.0,2024-01-28,decoracion,954.6,62,TV,4.51,2024-08-26,2024-10-07
912,cuadro decorativo,111.56,9.0,2024-01-28,decoracion,1004.04,61,TV,5.3,2024-11-05,2024-12-23
1999,batidora,103.27,3.0,2024-01-28,electrodomesticos,309.81,27,RRSS,4.52,2024-11-01,2024-12-08
2323,smartphone,34.5,1.0,2024-01-28,electronica,34.5,81,TV,4.78,2024-09-28,2024-10-24
2636,laptop,33.07,10.0,2024-01-28,electronica,330.7,90,TV,5.62,2024-11-16,2025-01-13
2693,smartphone,115.81,1.0,2024-01-28,electronica,115.81,81,TV,4.78,2024-09-28,2024-10-24
373,espejo decorativo,29.77,11.0,2024-01-29,decoracion,327.47,23,RRSS,4.75,2024-08-28,2024-10-17
1452,cafetera,88.56,8.0,2024-01-29,electrodomesticos,708.48,19,RRSS,5.7,2024-08-19,2024-09-15
