id_venta,producto,precio,cantidad,fecha_venta,categoria
1167,horno electrico,119.7,6.0,2024-01-11,electrodomesticos
1234,aspiradora,36.89,7.0,2024-01-11,electrodomesticos
1319,batidora,79.98,12.0,2024-01-11,electrodomesticos
1885,lavadora,120.75,10.0,2024-01-11,electrodomesticos
2268,smartwatch,48.45,2.0,2024-01-11,electronica
2325,auriculares,117.43,11.0,2024-01-11,electronica
2761,parlantes bluetooth,29.89,9.0,2024-01-11,electronica
243,espejo decorativo,55.61,1.0,2024-01-12,decoracion
1441,freidora electrica,52.57,11.0,2024-01-12,electrodomesticos
2428,smartwatch,115.0,10.0,2024-01-12,electronica
2583,smartphone,67.93,10.0,2024-01-12,electronica
2980,consola de videojuegos,110.6,12.0,2024-01-12,electronica
88,rincon de plantas,109.33,9.0,2024-01-13,decoracion
501,lampara de mesa,35.2,6.0,2024-01-13,decoracion
507,elementos de ceramica,111.1,1.0,2024-01-13,decoracion
669,lampara de mesa,96.79,5.0,2024-01-13,decoracion
987,elementos de ceramica,102.62,3.0,2024-01-13,decoracion
1548,cafetera,35.73,12.0,2024-01-13,electrodomesticos
2822,televisor,57.34,1.0,2024-01-13,electronica
2924,tablet,32.3,1.0,2024-01-13,electronica
20,adorno de pared,90.21,2.0,2024-01-14,decoracion
53,espejo decorativo,115.45,7.0,2024-01-14,decoracion
608,rincon de plantas,64.67,10.0,2024-01-14,decoracion
993,espejo decorativo,98.26,1.0,2024-01-14,decoracion
1065,lavadora,43.98,6.0,2024-01-14,electrodomesticos
1599,batidora,96.78,12.0,2024-01-14,electrodomesticos
1638,cafetera,123.96,9.0,2024-01-14,electrodomesticos
1685,lavadora,84.8,3.0,2024-01-14,electrodomesticos
2685,auriculares,27.36,10.0,2024-01-14,electronica
169,lampara de mesa,76.32,9.0,2024-01-15,decoracion
236,cortinas,118.69,9.0,2024-01-15,decoracion
260,adorno de pared,101.48,9.0,2024-01-15,decoracion
977,elementos de ceramica,74.35,5.0,2024-01-15,decoracion
1271,freidora electrica,119.46,2.0,2024-01-15,electrodomesticos
2098,smartwatch,75.65,5.0,2024-01-15,electronica
2196,laptop,31.69,1.0,2024-01-15,electronica
2590,consola de videojuegos,99.14,6.0,2024-01-15,electronica
2788,smartwatch,30.38,8.0,2024-01-15,electronica
2803,smartphone,95.73,5.0,2024-01-15,electronica
2874,tablet,117.47,2.0,2024-01-15,electronica
113,espejo decorativo,75.93,10.0,2024-01-16,decoracion
503,espejo decorativo,101.91,3.0,2024-01-16,decoracion
832,cuadro decorativo,30.59,1.0,2024-01-16,decoracion
962,cuadro decorativo,40.97,11.0,2024-01-16,decoracion
1250,plancha de vapor,98.55,6.0,2024-01-16,electrodomesticos
1431,freidora electrica,83.95,8.0,2024-01-16,electrodomesticos
1920,plancha de vapor,86.65,6.0,2024-01-16,electrodomesticos
2129,proyector,107.98,6.0,2024-01-16,electronica
2220,consola de videojuegos,31.57,1.0,2024-01-16,electronica
2477,camara digital,38.37,9.0,2024-01-16,electronica
2789,proyector,115.19,11.0,2024-01-16,electronica
2935,auriculares,80.29,2.0,2024-01-16,electronica
131,lampara de mesa,58.32,10.0,2024-01-17,decoracion
178,rincon de plantas,81.5,1.0,2024-01-17,decoracion
368,rincon de plantas,87.4,9.0,2024-01-17,decoracion
684,jarron decorativo,106.89,6.0,2024-01-17,decoracion
1750,plancha de vapor,94.53,2.0,2024-01-17,electrodomesticos
2284,tablet,69.35,4.0,2024-01-17,electronica
2402,televisor,117.53,9.0,2024-01-17,electronica
2698,smartwatch,76.47,7.0,2024-01-17,electronica
430,adorno de pared,81.76,5.0,2024-01-18,decoracion
588,rincon de plantas,80.17,3.0,2024-01-18,decoracion
1626,secadora,102.73,6.0,2024-01-18,electrodomesticos
1900,plancha de vapor,45.14,1.0,2024-01-18,electrodomesticos
2119,proyector,84.1,11.0,2024-01-18,electronica
2244,auriculares,63.67,5.0,2024-01-18,electronica
2297,camara digital,119.43,5.0,2024-01-18,electronica
2416,laptop,81.74,10.0,2024-01-18,electronica
2431,parlantes bluetooth,69.4,1.0,2024-01-18,electronica
2792,televisor,84.96,5.0,2024-01-18,electronica
30,adorno de pared,76.92,6.0,2024-01-19,decoracion
49,lampara de mesa,52.95,6.0,2024-01-19,decoracion
104,jarron decorativo,103.13,8.0,2024-01-19,decoracion
323,espejo decorativo,123.21,7.0,2024-01-19,decoracion
395,alfombra,33.48,12.0,2024-01-19,decoracion
851,lampara de mesa,85.23,6.0,2024-01-19,decoracion
1125,lavadora,97.73,12.0,2024-01-19,electrodomesticos
1332,cafetera,98.21,11.0,2024-01-19,electrodomesticos
1806,secadora,27.45,10.0,2024-01-19,electrodomesticos
2231,parlantes bluetooth,42.98,7.0,2024-01-19,electronica
401,lampara de mesa,69.47,8.0,2024-01-20,decoracion
788,rincon de plantas,85.75,3.0,2024-01-20,decoracion
1007,horno electrico,98.42,8.0,2024-01-20,electrodomesticos
1489,batidora,95.59,3.0,2024-01-20,electrodomesticos
2187,camara digital,108.61,2.0,2024-01-20,electronica
2588,smartwatch,83.01,11.0,2024-01-20,electronica
2721,parlantes bluetooth,40.74,6.0,2024-01-20,electronica
2897,camara digital,71.45,5.0,2024-01-20,electronica
2987,camara digital,91.13,8.0,2024-01-20,electronica
59,lampara de mesa,121.72,8.0,2024-01-21,decoracion
754,jarron decorativo,91.53,12.0,2024-01-21,decoracion
1117,horno electrico,103.57,1.0,2024-01-21,electrodomesticos
1140,plancha de vapor,27.61,7.0,2024-01-21,electrodomesticos
1145,lavadora,67.2,11.0,2024-01-21,electrodomesticos
1286,secadora,84.5,11.0,2024-01-21,electrodomesticos
1754,aspiradora,104.86,8.0,2024-01-21,electrodomesticos
1882,cafetera,51.16,12.0,2024-01-21,electrodomesticos
2560,consola de videojuegos,87.23,5.0,2024-01-21,electronica
442,cuadro decorativo,29.17,1.0,2024-01-22,decoracion
547,elementos de ceramica,83.81,6.0,2024-01-22,decoracion
984,jarron decorativo,26.97,5.0,2024-01-22,decoracion
1106,secadora,91.54,2.0,2024-01-22,electrodomesticos
1808,cafetera,45.98,3.0,2024-01-22,electrodomesticos
1981,freidora electrica,48.68,8.0,2024-01-22,electrodomesticos
80,adorno de pared,51.56,5.0,2024-01-23,decoracion
189,lampara de mesa,26.42,2.0,2024-01-23,decoracion
839,lampara de mesa,96.37,5.0,2024-01-23,decoracion
947,elementos de ceramica,117.34,1.0,2024-01-23,decoracion
1592,cafetera,86.79,3.0,2024-01-23,electrodomesticos
2690,consola de videojuegos,102.4,2.0,2024-01-23,electronica
39,lampara de mesa,57.35,12.0,2024-01-24,decoracion
164,jarron decorativo,66.27,1.0,2024-01-24,decoracion
196,cortinas,90.87,4.0,2024-01-24,decoracion
768,rincon de plantas,89.47,2.0,2024-01-24,decoracion
1515,lavadora,108.37,1.0,2024-01-24,electrodomesticos
1786,secadora,40.63,3.0,2024-01-24,electrodomesticos
1977,horno electrico,45.79,7.0,2024-01-24,electrodomesticos
2354,tablet,27.98,8.0,2024-01-24,electronica
2543,smartphone,91.39,7.0,2024-01-24,electronica
2623,smartphone,27.32,7.0,2024-01-24,electronica
2982,televisor,26.7,9.0,2024-01-24,electronica
85,alfombra,71.14,2.0,2024-01-25,decoracion
983,espejo decorativo,123.22,10.0,2024-01-25,decoracion
1378,cafetera,96.94,4.0,2024-01-25,electrodomesticos
1485,lavadora,66.16,4.0,2024-01-25,electrodomesticos
1503,microondas,39.45,9.0,2024-01-25,electrodomesticos
2121,parlantes bluetooth,100.6,6.0,2024-01-25,electronica
2340,consola de videojuegos,109.68,5.0,2024-01-25,electronica
2502,televisor,77.83,8.0,2024-01-25,electronica
2619,proyector,70.1,10.0,2024-01-25,electronica
2735,auriculares,93.37,10.0,2024-01-25,electronica
2948,smartwatch,29.15,2.0,2024-01-25,electronica
73,espejo decorativo,52.58,9.0,2024-01-26,decoracion
621,lampara de mesa,70.6,6.0,2024-01-26,decoracion
787,elementos de ceramica,106.39,6.0,2024-01-26,decoracion
933,espejo decorativo,110.02,1.0,2024-01-26,decoracion
1768,cafetera,120.32,9.0,2024-01-26,electrodomesticos
2252,televisor,89.27,8.0,2024-01-26,electronica
2305,auriculares,31.03,9.0,2024-01-26,electronica
218,rincon de plantas,120.32,1.0,2024-01-27,decoracion
310,adorno de pared,103.79,2.0,2024-01-27,decoracion
496,cortinas,37.02,5.0,2024-01-27,decoracion
1360,plancha de vapor,95.1,2.0,2024-01-27,electrodomesticos
1744,aspiradora,28.79,12.0,2024-01-27,electrodomesticos
1877,horno electrico,53.46,4.0,2024-01-27,electrodomesticos
2165,auriculares,47.24,9.0,2024-01-27,electronica
2218,smartwatch,54.84,1.0,2024-01-27,electronica
2222,televisor,33.19,9.0,2024-01-27,electronica
2546,laptop,30.31,2.0,2024-01-27,electronica
617,elementos de ceramica,28.22,4.0,2024-01-28,decoracion
641,lampara de mesa,95.46,10.0,2024-01-28,decoracion
912,cuadro decorativo,111.56,9.0,2024-01-28,decoracion
1999,batidora,103.27,3.0,2024-01-28,electrodomesticos
2323,smartphone,34.5,1.0,2024-01-28,electronica
2636,laptop,33.07,10.0,2024-01-28,electronica
2693,smartphone,115.81,1.0,2024-01-28,electronica
373,espejo decorativo,29.77,11.0,2024-01-29,decoracion
1452,cafetera,88.56,8.0,2024-01-29,electrodomesticos
1645,lavadora,76.5,3.0,2024-01-29,electrodomesticos
2228,smartwatch,100.06,7.0,2024-01-29,electronica
2240,consola de videojuegos,43.35,8.0,2024-01-29,electronica
2245,auriculares,53.45,8.0,2024-01-29,electronica
2653,smartphone,121.22,6.0,2024-01-29,electronica
2870,consola de videojuegos,72.39,1.0,2024-01-29,electronica
2938,smartwatch,122.68,1.0,2024-01-29,electronica
2953,smartphone,121.0,12.0,2024-01-29,electronica
1046,secadora,109.0,11.0,2024-01-30,electrodomesticos
1886,secadora,47.91,1.0,2024-01-30,electrodomesticos
1965,lavadora,43.52,7.0,2024-01-30,electrodomesticos
2005,auriculares,56.56,4.0,2024-01-30,electronica
2273,smartphone,59.33,2.0,2024-01-30,electronica
2522,televisor,94.98,2.0,2024-01-30,electronica
2784,tablet,41.96,9.0,2024-01-30,electronica
2945,auriculares,115.2,1.0,2024-01-30,electronica
50,adorno de pared,83.1,5.0,2024-01-31,decoracion
162,cuadro decorativo,59.6,5.0,2024-01-31,decoracion
259,lampara de mesa,78.89,11.0,2024-01-31,decoracion
277,elementos de ceramica,52.17,7.0,2024-01-31,decoracion
852,cuadro decorativo,78.93,4.0,2024-01-31,decoracion
1185,lavadora,92.36,1.0,2024-01-31,electrodomesticos
1210,plancha de vapor,101.96,10.0,2024-01-31,electrodomesticos
1254,aspiradora,74.11,11.0,2024-01-31,electrodomesticos
1481,freidora electrica,121.77,12.0,2024-01-31,electrodomesticos
1898,cafetera,63.54,9.0,2024-01-31,electrodomesticos
2185,auriculares,35.74,11.0,2024-01-31,electronica
2752,auriculares,119.77,5.0,2024-01-31,electronica
2916,laptop,93.91,2.0,2024-01-31,electronica
733,espejo decorativo,44.37,2.0,2024-02-01,decoracion
848,rincon de plantas,81.92,10.0,2024-02-01,decoracion
1102,cafetera,108.33,2.0,2024-02-01,electrodomesticos
1764,aspiradora,112.38,10.0,2024-02-01,electrodomesticos
1813,microondas,89.16,5.0,2024-02-01,electrodomesticos
2069,proyector,76.17,12.0,2024-02-01,electronica
2474,auriculares,123.41,8.0,2024-02-01,electronica
2680,consola de videojuegos,89.96,2.0,2024-02-01,electronica
380,adorno de pared,45.84,10.0,2024-02-02,decoracion
557,elementos de ceramica,108.86,6.0,2024-02-02,decoracion
828,rincon de plantas,27.95,7.0,2024-02-02,decoracion
829,lampara de mesa,41.6,12.0,2024-02-02,decoracion
1600,plancha de vapor,47.6,10.0,2024-02-02,electrodomesticos
2079,proyector,111.74,6.0,2024-02-02,electronica
2115,auriculares,26.0,9.0,2024-02-02,electronica
2133,smartphone,88.43,2.0,2024-02-02,electronica
2329,proyector,62.88,7.0,2024-02-02,electronica
2476,laptop,109.23,7.0,2024-02-02,electronica
2548,smartwatch,108.99,10.0,2024-02-02,electronica
211,lampara de mesa,30.03,8.0,2024-02-03,decoracion
541,lampara de mesa,76.33,10.0,2024-02-03,decoracion
695,alfombra,51.29,2.0,2024-02-03,decoracion
1336,secadora,42.81,7.0,2024-02-03,electrodomesticos
1499,batidora,77.53,4.0,2024-02-03,electrodomesticos
2007,camara digital,117.11,9.0,2024-02-03,electronica
2068,smartwatch,49.23,4.0,2024-02-03,electronica
2758,smartwatch,81.32,6.0,2024-02-03,electronica
2851,parlantes bluetooth,110.42,2.0,2024-02-03,electronica
64,jarron decorativo,104.16,10.0,2024-02-04,decoracion
763,espejo decorativo,117.99,3.0,2024-02-04,decoracion
1424,aspiradora,69.31,10.0,2024-02-04,electrodomesticos
1455,lavadora,38.61,10.0,2024-02-04,electrodomesticos
1456,secadora,84.24,3.0,2024-02-04,electrodomesticos
2315,auriculares,109.07,4.0,2024-02-04,electronica
2832,televisor,49.23,4.0,2024-02-04,electronica
24,jarron decorativo,70.51,12.0,2024-02-05,decoracion
40,adorno de pared,100.32,10.0,2024-02-05,decoracion
347,elementos de ceramica,83.52,12.0,2024-02-05,decoracion
911,lampara de mesa,33.9,4.0,2024-02-05,decoracion
1451,freidora electrica,48.52,4.0,2024-02-05,electrodomesticos
1855,lavadora,123.28,8.0,2024-02-05,electrodomesticos
1961,freidora electrica,81.99,1.0,2024-02-05,electrodomesticos
2378,smartwatch,72.38,1.0,2024-02-05,electronica
2426,laptop,47.57,4.0,2024-02-05,electronica
1064,aspiradora,65.0,9.0,2024-02-06,electrodomesticos
1313,microondas,82.58,9.0,2024-02-06,electrodomesticos
1848,cafetera,123.27,4.0,2024-02-06,electrodomesticos
2267,camara digital,57.81,10.0,2024-02-06,electronica
2438,smartwatch,45.98,3.0,2024-02-06,electronica
2566,laptop,70.59,9.0,2024-02-06,electronica
2617,camara digital,89.53,9.0,2024-02-06,electronica
2627,camara digital,102.83,5.0,2024-02-06,electronica
381,lampara de mesa,124.57,3.0,2024-02-07,decoracion
393,espejo decorativo,122.11,7.0,2024-02-07,decoracion
662,cuadro decorativo,42.09,12.0,2024-02-07,decoracion
770,adorno de pared,103.74,5.0,2024-02-07,decoracion
895,alfombra,102.72,2.0,2024-02-07,decoracion
1340,plancha de vapor,48.48,10.0,2024-02-07,electrodomesticos
1422,cafetera,109.97,2.0,2024-02-07,electrodomesticos
1554,aspiradora,124.82,3.0,2024-02-07,electrodomesticos
2584,auriculares,42.67,6.0,2024-02-07,electronica
163,espejo decorativo,30.11,12.0,2024-02-08,decoracion
367,elementos de ceramica,47.0,2.0,2024-02-08,decoracion
745,alfombra,50.02,12.0,2024-02-08,decoracion
850,adorno de pared,112.03,9.0,2024-02-08,decoracion
971,lampara de mesa,79.91,8.0,2024-02-08,decoracion
1501,freidora electrica,58.69,4.0,2024-02-08,electrodomesticos
1529,batidora,79.14,10.0,2024-02-08,electrodomesticos
2618,smartwatch,64.98,11.0,2024-02-08,electronica
809,lampara de mesa,58.38,4.0,2024-02-09,decoracion
1371,freidora electrica,95.71,4.0,2024-02-09,electrodomesticos
1791,freidora electrica,51.37,9.0,2024-02-09,electrodomesticos
2294,auriculares,54.54,9.0,2024-02-09,electronica
2668,smartwatch,97.01,4.0,2024-02-09,electronica
2718,smartwatch,110.23,11.0,2024-02-09,electronica
135,alfombra,78.47,1.0,2024-02-10,decoracion
212,cuadro decorativo,52.83,12.0,2024-02-10,decoracion
229,lampara de mesa,99.71,3.0,2024-02-10,decoracion
737,elementos de ceramica,116.82,3.0,2024-02-10,decoracion
840,adorno de pared,91.48,9.0,2024-02-10,decoracion
949,lampara de mesa,87.04,1.0,2024-02-10,decoracion
1294,aspiradora,26.11,9.0,2024-02-10,electrodomesticos
1436,secadora,45.43,11.0,2024-02-10,electrodomesticos
1696,secadora,115.57,12.0,2024-02-10,electrodomesticos
2013,smartphone,49.34,12.0,2024-02-10,electronica
2203,smartphone,59.33,5.0,2024-02-10,electronica
2873,smartphone,74.8,5.0,2024-02-10,electronica
2973,smartphone,97.62,1.0,2024-02-10,electronica
43,espejo decorativo,81.16,2.0,2024-02-11,decoracion
205,alfombra,108.67,4.0,2024-02-11,decoracion
417,elementos de ceramica,35.97,2.0,2024-02-11,decoracion
462,cuadro decorativo,109.69,8.0,2024-02-11,decoracion
1730,plancha de vapor,101.57,10.0,2024-02-11,electrodomesticos
1901,freidora electrica,83.07,6.0,2024-02-11,electrodomesticos
2440,consola de videojuegos,110.79,8.0,2024-02-11,electronica
2952,televisor,112.58,5.0,2024-02-11,electronica
362,cuadro decorativo,71.97,12.0,2024-02-12,decoracion
952,cuadro decorativo,72.08,11.0,2024-02-12,decoracion
970,adorno de pared,37.5,3.0,2024-02-12,decoracion
1963,microondas,96.35,3.0,2024-02-12,electrodomesticos
2122,televisor,97.3,9.0,2024-02-12,electronica
2334,auriculares,57.41,4.0,2024-02-12,electronica
2714,auriculares,74.7,10.0,2024-02-12,electronica
116,cortinas,40.19,3.0,2024-02-13,decoracion
2379,proyector,108.52,12.0,2024-02-13,electronica
2669,proyector,26.52,3.0,2024-02-13,electronica
2739,proyector,63.33,10.0,2024-02-13,electronica
2766,laptop,31.94,11.0,2024-02-13,electronica
2829,proyector,33.84,5.0,2024-02-13,electronica
151,lampara de mesa,113.01,7.0,2024-02-14,decoracion
366,cortinas,92.84,1.0,2024-02-14,decoracion
406,cortinas,64.96,1.0,2024-02-14,decoracion
884,jarron decorativo,82.89,10.0,2024-02-14,decoracion
1488,cafetera,79.98,2.0,2024-02-14,electrodomesticos
1946,secadora,69.17,6.0,2024-02-14,electrodomesticos
2154,auriculares,45.97,12.0,2024-02-14,electronica
2571,parlantes bluetooth,123.36,5.0,2024-02-14,electronica
2871,parlantes bluetooth,101.08,7.0,2024-02-14,electronica
282,cuadro decorativo,87.42,7.0,2024-02-15,decoracion
457,elementos de ceramica,38.25,1.0,2024-02-15,decoracion
946,cortinas,109.32,7.0,2024-02-15,decoracion
1353,microondas,98.65,2.0,2024-02-15,electrodomesticos
2782,televisor,62.8,8.0,2024-02-15,electronica
2979,proyector,65.41,7.0,2024-02-15,electronica
1070,plancha de vapor,48.23,5.0,2024-02-16,electrodomesticos
1265,lavadora,120.53,5.0,2024-02-16,electrodomesticos
1798,cafetera,97.97,2.0,2024-02-16,electrodomesticos
2304,auriculares,44.56,8.0,2024-02-16,electronica
2595,auriculares,81.96,2.0,2024-02-16,electronica
2825,auriculares,39.92,4.0,2024-02-16,electronica
727,elementos de ceramica,108.86,6.0,2024-02-17,decoracion
913,espejo decorativo,59.36,4.0,2024-02-17,decoracion
1346,secadora,64.11,4.0,2024-02-17,electrodomesticos
1623,microondas,95.91,4.0,2024-02-17,electrodomesticos
1924,aspiradora,38.1,9.0,2024-02-17,electrodomesticos
2246,laptop,76.02,10.0,2024-02-17,electronica
2255,auriculares,72.37,8.0,2024-02-17,electronica
2345,auriculares,61.61,4.0,2024-02-17,electronica
275,alfombra,36.14,8.0,2024-02-18,decoracion
276,cortinas,98.73,10.0,2024-02-18,decoracion
436,cortinas,76.78,7.0,2024-02-18,decoracion
492,cuadro decorativo,120.22,5.0,2024-02-18,decoracion
658,rincon de plantas,96.23,8.0,2024-02-18,decoracion
694,jarron decorativo,96.35,10.0,2024-02-18,decoracion
1081,freidora electrica,95.5,4.0,2024-02-18,electrodomesticos
1115,lavadora,96.75,3.0,2024-02-18,electrodomesticos
1510,plancha de vapor,79.95,10.0,2024-02-18,electrodomesticos
2136,laptop,61.22,2.0,2024-02-18,electronica
2302,televisor,69.69,5.0,2024-02-18,electronica
2837,camara digital,63.35,1.0,2024-02-18,electronica
83,espejo decorativo,101.38,6.0,2024-02-19,decoracion
252,cuadro decorativo,110.99,8.0,2024-02-19,decoracion
428,rincon de plantas,74.58,11.0,2024-02-19,decoracion
728,rincon de plantas,58.34,2.0,2024-02-19,decoracion
878,rincon de plantas,29.09,12.0,2024-02-19,decoracion
52,cuadro decorativo,52.23,10.0,2024-02-20,decoracion
387,elementos de ceramica,76.94,12.0,2024-02-20,decoracion
722,cuadro decorativo,84.63,5.0,2024-02-20,decoracion
1409,batidora,79.1,4.0,2024-02-20,electrodomesticos
1568,cafetera,99.1,10.0,2024-02-20,electrodomesticos
1788,cafetera,45.67,4.0,2024-02-20,electrodomesticos
2077,camara digital,28.16,4.0,2024-02-20,electronica
2706,laptop,51.15,2.0,2024-02-20,electronica
2900,consola de videojuegos,63.26,2.0,2024-02-20,electronica
2992,smartphone,116.25,8.0,2024-02-20,electronica
288,rincon de plantas,59.16,11.0,2024-02-21,decoracion
408,rincon de plantas,63.23,7.0,2024-02-21,decoracion
720,adorno de pared,90.05,1.0,2024-02-21,decoracion
1031,freidora electrica,117.97,6.0,2024-02-21,electrodomesticos
1186,secadora,80.16,9.0,2024-02-21,electrodomesticos
1453,microondas,60.46,5.0,2024-02-21,electrodomesticos
1660,plancha de vapor,35.94,12.0,2024-02-21,electrodomesticos
1700,plancha de vapor,75.08,6.0,2024-02-21,electrodomesticos
1820,plancha de vapor,45.5,12.0,2024-02-21,electrodomesticos
2083,smartphone,32.6,8.0,2024-02-21,electronica
2742,televisor,49.01,3.0,2024-02-21,electronica
2903,smartphone,53.67,6.0,2024-02-21,electronica
707,elementos de ceramica,63.79,1.0,2024-02-22,decoracion
888,rincon de plantas,36.28,12.0,2024-02-22,decoracion
891,lampara de mesa,44.78,4.0,2024-02-22,decoracion
928,rincon de plantas,111.8,5.0,2024-02-22,decoracion
1508,cafetera,124.68,1.0,2024-02-22,electrodomesticos
1582,cafetera,53.82,7.0,2024-02-22,electrodomesticos
2056,laptop,99.0,11.0,2024-02-22,electronica
2883,smartphone,59.99,12.0,2024-02-22,electronica
86,cortinas,36.75,12.0,2024-02-23,decoracion
92,cuadro decorativo,35.48,3.0,2024-02-23,decoracion
199,lampara de mesa,31.24,1.0,2024-02-23,decoracion
269,lampara de mesa,66.48,1.0,2024-02-23,decoracion
752,cuadro decorativo,110.51,11.0,2024-02-23,decoracion
1323,microondas,52.26,8.0,2024-02-23,electrodomesticos
2419,proyector,52.52,3.0,2024-02-23,electronica
2503,smartphone,32.58,9.0,2024-02-23,electronica
2541,parlantes bluetooth,26.71,12.0,2024-02-23,electronica
2587,camara digital,61.4,7.0,2024-02-23,electronica
365,alfombra,58.82,9.0,2024-02-24,decoracion
577,elementos de ceramica,60.17,7.0,2024-02-24,decoracion
929,lampara de mesa,48.58,11.0,2024-02-24,decoracion
930,adorno de pared,75.13,6.0,2024-02-24,decoracion
1182,cafetera,113.84,2.0,2024-02-24,electrodomesticos
1558,cafetera,68.89,6.0,2024-02-24,electrodomesticos
1817,horno electrico,31.5,4.0,2024-02-24,electrodomesticos
2058,smartwatch,35.41,3.0,2024-02-24,electronica
2768,smartwatch,29.39,11.0,2024-02-24,electronica
2816,laptop,29.49,8.0,2024-02-24,electronica
